Second,eye_comb_direction_x,eye_comb_direction_y,eye_comb_direction_z,eye_r_openness,eye_r_direction_x,eye_r_direction_y,eye_r_direction_z,eye_r_origin_x,eye_r_origin_y,eye_r_origin_z,eye_r_pupil_diameter,eye_r_pupil_position_x,eye_r_pupil_position_y,eye_l_openness,eye_l_direction_x,eye_l_direction_y,eye_l_direction_z,eye_l_origin_x,eye_l_origin_y,eye_l_origin_z,eye_l_pupil_diameter,eye_l_pupil_position_x,eye_l_pupil_position_y,head_position_x,head_position_y,head_position_z,head_rotation_roll,head_rotation_pitch,head_rotation_yaw,EDA,BVP,TMP
0,-0.06558228,-0.007247925,0.997818,1.0,-0.06558228,-0.007247925,0.997818,-35.20256,2.859741,-33.99646,4.057678,0.6507939,0.547101,1.0,0.0785675,-0.01353455,0.9968109,35.80183,4.970169,-31.45654,4.971054,0.380165,0.4359497,0.0338335,1.245372,-0.1611626,-0.01671873,0.7740019,0.03771281,0.2254871,0.5831285357306809,33.817857689364956
0,-0.06558228,-0.007247925,0.997818,1.0,-0.06558228,-0.007247925,0.997818,-35.20256,2.859741,-33.99646,4.057678,0.6507939,0.547101,1.0,0.0785675,-0.01353455,0.9968109,35.80183,4.970169,-31.45654,4.971054,0.380165,0.4359497,0.0338335,1.245372,-0.1611626,-0.01671873,0.7740019,0.03771281,0.2254871,0.5831285357306809,33.817857689364956
0,-0.06558228,-0.007247925,0.997818,1.0,-0.06558228,-0.007247925,0.997818,-35.20256,2.859741,-33.99646,4.057678,0.6507939,0.547101,1.0,0.0785675,-0.01353455,0.9968109,35.80183,4.970169,-31.45654,4.971054,0.380165,0.4359497,0.0338335,1.245372,-0.1611626,-0.01671873,0.7740019,0.03771281,0.2254871,0.5831285357306809,33.817857689364956
0,-0.01286316,-0.05560303,0.9983673,1.0,-0.01286316,-0.05560303,0.9983673,-34.80679,2.970825,-33.89899,4.019012,0.6295694,0.5481367,1.0,0.159729,0.005905151,0.9871368,36.1011,5.057922,-31.56523,5.075226,0.3597292,0.4312718,0.03479934,1.244815,-0.1606725,-0.01497241,0.7732439,0.03589698,0.2254871,0.5831285357306809,33.817857689364956
0,-0.01286316,-0.05560303,0.9983673,1.0,-0.01286316,-0.05560303,0.9983673,-34.80679,2.970825,-33.89899,4.019012,0.6295694,0.5481367,1.0,0.159729,0.005905151,0.9871368,36.1011,5.057922,-31.56523,5.075226,0.3597292,0.4312718,0.03479934,1.244815,-0.1606725,-0.01497241,0.7732439,0.03589698,0.2254871,0.5831285357306809,33.817857689364956
0,-0.01286316,-0.05560303,0.9983673,1.0,-0.01286316,-0.05560303,0.9983673,-34.80679,2.970825,-33.89899,4.019012,0.6295694,0.5481367,1.0,0.159729,0.005905151,0.9871368,36.1011,5.057922,-31.56523,5.075226,0.3597292,0.4312718,0.03479934,1.244815,-0.1606725,-0.01497241,0.7732439,0.03589698,0.2254871,0.5831285357306809,33.817857689364956
0,-0.003631592,-0.05189514,0.998642,1.0,-0.003631592,-0.05189514,0.998642,-34.72496,3.159927,-34.46538,4.032928,0.6262372,0.5463396,1.0,0.1708984,-0.003875732,0.9852753,36.14027,5.088577,-31.48308,4.948135,0.3572878,0.4306348,0.03570223,1.244435,-0.1601544,-0.01374091,0.7722707,0.03475662,0.2254871,0.5831285357306809,33.817857689364956
0,-0.003631592,-0.05189514,0.998642,1.0,-0.003631592,-0.05189514,0.998642,-34.72496,3.159927,-34.46538,4.032928,0.6262372,0.5463396,1.0,0.1708984,-0.003875732,0.9852753,36.14027,5.088577,-31.48308,4.948135,0.3572878,0.4306348,0.03570223,1.244435,-0.1601544,-0.01374091,0.7722707,0.03475662,0.2254871,0.5831285357306809,33.817857689364956
0,-0.003631592,-0.05189514,0.998642,1.0,-0.003631592,-0.05189514,0.998642,-34.72496,3.159927,-34.46538,4.032928,0.6262372,0.5463396,1.0,0.1708984,-0.003875732,0.9852753,36.14027,5.088577,-31.48308,4.948135,0.3572878,0.4306348,0.03570223,1.244435,-0.1601544,-0.01374091,0.7722707,0.03475662,0.2254871,0.5831285357306809,33.817857689364956
0,-0.005310059,-0.05018616,0.9987183,1.0,-0.006103516,-0.0504303,0.998703,-34.73596,3.153244,-34.37677,4.001465,0.6267821,0.5455258,1.0,0.1661987,0.004806519,0.9860687,36.13525,5.106888,-31.52768,4.932098,0.3579305,0.4292646,0.03659368,1.244148,-0.1595491,-0.01288637,0.7714202,0.03379254,0.2254871,0.5831285357306809,33.817857689364956
